Test_Document_ID	Predicted_Category
1143	Film
1155	Business
1162	Business
1163	Technology
1169	Politics
1174	Business
1177	Technology
1178	Business
1184	Technology
1185	Technology
1192	Business
1208	Business
1209	Politics
1215	Technology
1217	Business
1219	Business
1221	Business
1223	Politics
1225	Politics
1229	Business
1230	Politics
1239	Business
1251	Politics
1265	Business
1269	Politics
1282	Film
1287	Technology
1295	Technology
1301	Technology
1302	Technology
1306	Film
1310	Technology
1314	Politics
1322	Business
1328	Business
1331	Politics
1332	Business
1337	Politics
1345	Politics
1349	Business
1353	Business
1356	Technology
1359	Technology
1368	Technology
1371	Business
1377	Technology
1381	Technology
1387	Technology
1389	Technology
1404	Technology
1411	Technology
1413	Technology
1425	Business
1428	Technology
1429	Business
1430	Film
1433	Technology
1437	Film
1438	Film
1446	Business
1447	Business
1454	Technology
1461	Politics
1462	Business
1463	Technology
1466	Technology
1469	Technology
1475	Film
1485	Film
1488	Business
1493	Business
1496	Film
1497	Technology
1500	Technology
1502	Technology
1508	Business
1509	Business
1518	Film
1522	Film
1524	Technology
1527	Technology
1529	Film
1531	Technology
1533	Technology
1537	Film
1548	Film
1555	Film
1556	Film
1558	Film
1568	Film
1570	Film
1571	Film
1572	Technology
1583	Technology
1589	Technology
1597	Film
1602	Film
1606	Film
1607	Film
1613	Film
1624	Film
1637	Film
1638	Film
1639	Technology
1652	Film
1654	Film
1663	Politics
1675	Business
1695	Politics
1703	Politics
1704	Business
1705	Politics
1709	Business
1714	Politics
1715	Business
1725	Business
1726	Business
1741	Film
1749	Business
1755	Technology
1760	Football
1761	Football
1768	Film
1772	Football
1775	Football
1778	Business
1779	Business
1781	Business
1784	Technology
1789	Technology
1797	Business
1803	Football
1805	Business
1812	Film
1819	Business
1833	Film
1843	Business
1844	Politics
1845	Politics
1860	Film
1864	Football
1873	Technology
1878	Film
1879	Film
1884	Film
1885	Technology
1889	Film
1895	Film
1907	Film
1908	Film
1910	Technology
1915	Film
1917	Technology
1920	Film
1921	Film
1928	Film
1951	Film
1962	Film
1963	Technology
1964	Film
1965	Film
1967	Film
1968	Film
1972	Technology
1981	Film
1985	Film
1987	Film
1988	Film
1990	Film
1991	Film
1992	Film
1996	Film
2004	Film
2007	Film
2008	Film
2028	Film
2037	Film
2063	Film
2076	Film
2079	Football
2081	Technology
2083	Technology
2086	Film
2100	Technology
2101	Technology
2103	Business
2104	Film
2116	Film
2117	Business
2118	Business
2119	Film
2132	Film
2134	Film
2136	Film
2138	Football
2151	Business
2154	Film
2158	Film
2164	Film
2168	Politics
2172	Film
2181	Film
2191	Football
2192	Film
2193	Film
2198	Film
2199	Film
2205	Film
2207	Film
2214	Film
2224	Film
2228	Film
2229	Film
2230	Film
2232	Business
2244	Politics
2246	Technology
2259	Politics
2266	Business
2275	Business
2277	Business
2278	Business
2279	Business
2288	Politics
2300	Business
2301	Business
2307	Business
2315	Business
2318	Politics
2320	Business
2323	Politics
2324	Business
2325	Business
2340	Business
2341	Business
2348	Business
2350	Politics
2353	Politics
2362	Politics
2375	Politics
2377	Politics
2380	Politics
2383	Politics
2387	Politics
2391	Business
2394	Politics
2395	Politics
2399	Business
2410	Business
2411	Business
2415	Business
2422	Politics
2424	Politics
2426	Politics
2432	Business
2436	Business
2437	Politics
2445	Politics
2447	Politics
2448	Politics
2464	Business
2468	Politics
2473	Politics
2477	Politics
2487	Politics
2491	Politics
2492	Business
2493	Business
2496	Technology
2499	Politics
2507	Business
2514	Politics
2526	Politics
2530	Business
2537	Business
2538	Business
2539	Politics
2541	Politics
2542	Technology
2543	Technology
2545	Technology
2551	Film
2554	Film
2556	Business
2558	Politics
2559	Business
2560	Business
2561	Film
2566	Film
2568	Film
2573	Film
